time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-11-02 09:30:00-04:00,MLTrader,93432e2b72e7491582db3e174424b00c,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-02 09:30:00-04:00,MLTrader,93432e2b72e7491582db3e174424b00c,SPY,sell,market,fill,1,gtc,0.0,1,stock,426.5799865722656,117.0,0.0
2023-11-13 09:30:00-05:00,MLTrader,e42743d96fcf44f7834b8dea23e44fd0,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-13 09:30:00-05:00,MLTrader,e42743d96fcf44f7834b8dea23e44fd0,SPY,sell,market,fill,1,gtc,0.0,1,stock,439.2300109863281,171.0,0.0
2023-11-14 09:30:00-05:00,MLTrader,e3446cb6c9ba47698de6f0868d00915e,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-14 09:30:00-05:00,MLTrader,f089b85004f2466994d94c695d243e07,SPY,buy,stop,fill,1,day,0.0,1,stock,447.9089859008789,117.0,0.0
2023-11-27 09:30:00-05:00,MLTrader,d999ce2926044e8d8764a5027dc34ffc,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-27 09:30:00-05:00,MLTrader,d999ce2926044e8d8764a5027dc34ffc,SPY,sell,market,fill,1,gtc,0.0,1,stock,454.6499938964844,190.0,0.0
2023-12-11 08:30:00-05:00,MLTrader,475e85900e3d408ea3d8a665b6248629,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-12-11 08:30:00-05:00,MLTrader,c5c5483780354a9f9784ae726e997b91,SPY,buy,stop,fill,1,day,0.0,1,stock,461.19151153564457,171.0,0.0
2023-12-22 09:30:00-05:00,MLTrader,9ba8be58ae454d40be3b8707b4b3953f,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
