time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-02-03 09:30:00-05:00,MLTrader,73b53ddfd3194b0eb8f0543cc69e264a,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-03 09:30:00-05:00,MLTrader,73b53ddfd3194b0eb8f0543cc69e264a,SPY,sell,market,fill,1,gtc,0.0,1,stock,323.3500061035156,155.0,0.0
2020-02-10 09:30:00-05:00,MLTrader,957369012f1348a1a876edf775ebed16,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,MLTrader,957369012f1348a1a876edf775ebed16,SPY,sell,market,fill,1,gtc,0.0,1,stock,331.2300109863281,227.0,0.0
2020-02-13 09:30:00-05:00,MLTrader,a049b6a90d6d496d8f6e9594517aa257,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-13 09:30:00-05:00,MLTrader,a049b6a90d6d496d8f6e9594517aa257,SPY,sell,market,fill,1,gtc,0.0,1,stock,335.8599853515625,335.0,0.0
2020-03-06 09:30:00-05:00,MLTrader,91fc1ba51e3f4a5bad62077ac90c7992,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-06 09:30:00-05:00,MLTrader,91fc1ba51e3f4a5bad62077ac90c7992,SPY,sell,market,fill,1,gtc,0.0,1,stock,293.1499938964844,576.0,0.0
2020-03-09 09:30:00-04:00,MLTrader,32999ed4a1444a4fb57ddd142f17dbdb,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-09 09:30:00-04:00,MLTrader,32999ed4a1444a4fb57ddd142f17dbdb,SPY,sell,market,fill,1,gtc,0.0,1,stock,284.6400146484375,890.0,0.0
2020-03-11 09:30:00-04:00,MLTrader,9c06ddcf9e994e28937c90310d581f0b,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-11 09:30:00-04:00,MLTrader,c7a35480c90b4076b00762fc650fbfff,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,155.0,0.0
2020-03-11 09:30:00-04:00,MLTrader,c97389cc185e41b3aa1c10dd87e31f6c,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-11 09:30:00-04:00,MLTrader,69183cda6acf4f2f948bfb4757423497,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,227.0,0.0
2020-03-11 09:30:00-04:00,MLTrader,1147f55e817948b6abada69fb8cbb0f3,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-11 09:30:00-04:00,MLTrader,1e33b6c69497424f89ca7e35c5297944,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,335.0,0.0
2020-03-17 09:30:00-04:00,MLTrader,492c504e7950415d8f6f03de7dc61806,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-17 09:30:00-04:00,MLTrader,7789608205e24776a42249623812918e,SPY,buy,limit,fill,1,day,0.0,1,stock,234.5199951171875,576.0,0.0
2020-04-13 09:30:00-04:00,MLTrader,53ec5b91b0cf4942ad0c7daa2257b368,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-04-13 09:30:00-04:00,MLTrader,53ec5b91b0cf4942ad0c7daa2257b368,SPY,sell,market,fill,1,gtc,0.0,1,stock,280.9800109863281,785.0,0.0
2020-05-18 08:30:00-04:00,MLTrader,1632825eda55484bbbac9c4143f223e3,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-05-18 08:30:00-04:00,MLTrader,00428a4807c34932aa1f57fb3fa84701,SPY,buy,stop,fill,1,day,0.0,1,stock,295.02901153564454,785.0,0.0
2020-05-26 08:30:00-04:00,MLTrader,292f1b22660b4aaebdf130d3fd731a81,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
